id,REGIONAL,MARCA,OPERADORA,TIPO,DATA DO CONTRATO,DATA ULTIMO REAJUSTE,DATA PREVISTA,STATUS,RESPONSÁVEL,% PREVISTO,DATA REALIZADA,% REALIZADO,CONSULTAS,EXAMES,CIRURGIAS,HM,TAXA,OBS,ROB PREVISTA,ROB REALIZADA,ROB REAJUSTE,PARAMETRIZAÇÃO
4480da8e-9f9d-4006-8a6e-c3123a490518,BA,DH,AMIL,CONVENIO,2021-07-16,2023-01-01,2025-01-01,EM ATRASO,DANIELA,3.5000000000000004,NaT,2.0,2.0,2.0,,,,Negociação nacional,,,,NaT
53fae7aa-63eb-4f2a-8988-25ba7e197f29,BA,IOF,AMIL,CONVENIO,2020-10-29,2021-02-12,2025-01-01,EM ATRASO,DANIELA,3.5000000000000004,NaT,,,,,,,NEgociação nacional,,,,NaT
d929ff16-8422-4a9d-9da1-d43e1c337b90,BA,IOV,AMIL,CONVENIO,2017-06-30,2021-01-25,2025-01-01,EM ATRASO,DANIELA,3.5000000000000004,NaT,,,,,,,NEGOCIAÇÃO NACIONAL,,,,NaT
3af94066-4f3b-4628-a5bf-a575788f5aa3,BA,Oftalmoclin,AMIL,CONVENIO,2020-10-29,2021-02-12,2025-01-01,EM ATRASO,DANIELA,3.5000000000000004,NaT,,,,,,,NEGOCIAÇÃO NACIONAL,,,,NaT
b17bd3ad-f67f-4e7e-bded-e5a34e8f20e5,BA,Oftalmodiagnose,AMIL,CONVENIO,2006-02-03,2023-01-01,2025-01-01,EM ATRASO,DANIELA,3.5000000000000004,NaT,,,,,,,UNIDADE MATRIZ ULTIMO ADITIVO EM 2023 TEVE READEQUAÇÃO DE PACOTE DE CONSULTA E NÃO TIVEMOS REAJUSTE DE TABELAS,,,,NaT
3d8b9fb5-5acc-4066-a86b-39bcd6e6bbb9,BA,Otorrino Center,AMIL,CONVENIO,2002-09-24,2022-04-19,2025-01-01,EM ATRASO,DANIELA,3.5000000000000004,NaT,,,,3.5,,4.0,NEGOCIAÇÃO NACIONAL,,,,NaT
506a267a-5d3c-49c1-98ab-c51370748741,BA,DH,APUB,CONVENIO,2005-10-28,2020-01-01,2025-01-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,Reajuste atrasado por falta de retorno da operadora,,,,NaT
56a3913c-2d6f-4ebe-957a-48c8e188085c,BA,IOF,APUB,CONVENIO,2015-11-11,2020-01-01,2025-01-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,"CONTATO: ELINEY, OPERADORA TEVE GRANDE QUEDA DE BENEFICIÁRIOS EM 2023, QUASE FOI FECHADA PELA ANS, NÃO DA REAJUSTE NO MERCADO DESDE ENTÃO",,,,NaT
459e8a18-9591-4ca6-adbb-ede97c06ae01,BA,IOV,APUB,CONVENIO,2015-10-26,2020-01-01,2025-01-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,"CONTATO: ELINEY, OPERADORA TEVE GRANDE QUEDA DE BENEFICIÁRIOS EM 2023, QUASE FOI FECHADA PELA ANS, NÃO DA REAJUSTE NO MERCADO DESDE ENTÃO",,,,NaT
ab4b35b7-86d9-4591-97b6-d168580c9a39,BA,Oftalmodiagnose,APUB,CONVENIO,2015-08-26,2020-01-01,2025-01-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,"CONTATO: ELINEY, OPERADORA TEVE GRANDE QUEDA DE BENEFICIÁRIOS EM 2023, QUASE FOI FECHADA PELA ANS, NÃO DA REAJUSTE NO MERCADO DESDE ENTÃO",,,,NaT
06015a93-720a-4437-b6cb-775fd971b168,BA,Otorrino Center,APUB,CONVENIO,2003-12-17,2020-01-01,2025-01-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,3.5,,4.0,"CONTATO: ELINEY, OPERADORA TEVE GRANDE QUEDA DE BENEFICIÁRIOS EM 2023, QUASE FOI FECHADA PELA ANS, NÃO DA REAJUSTE NO MERCADO DESDE ENTÃO",,,,NaT
2aa7e51f-f7cc-48f0-9209-e60c4b3b3e68,BA,DH,ASFEB,CONVENIO,2012-07-17,2024-09-01,2025-09-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,mes de reajuste 9/2025,,,,NaT
933291bf-0aa3-4f41-878b-786d54db6056,BA,IOF,ASFEB,CONVENIO,2016-08-04,2024-09-05,2025-09-05,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,MÊS DE REAJUSTE 09/2025,,,,NaT
486577f0-09af-4c2b-bfc1-5e26df35c02b,BA,IOV,ASFEB,CONVENIO,2017-11-01,2024-09-01,2025-09-01,EM ATRASO,TAMARA,3.5000000000000004,NaT,,,,,,,MÊS DE REAJUSTE 09/2025,,,,NaT
